iter	Logloss
167	0.3607467651
168	0.3606195259
169	0.3605072784
170	0.3603049088
171	0.3601557159
172	0.360083847
173	0.3599708176
174	0.3597589493
175	0.3596592522
176	0.359553833
177	0.3594900513
178	0.3593817902
179	0.3592604256
180	0.3591989899
181	0.3590999031
182	0.3590253258
183	0.3589097404
184	0.3587443161
185	0.358569603
186	0.3583820724
187	0.358250618
188	0.3580986786
189	0.3579397392
190	0.3577736855
191	0.3576579475
192	0.3575478745
193	0.3574142075
194	0.3571922112
195	0.3570660782
196	0.356928215
197	0.3567666054
198	0.3566592598
199	0.3565509605
200	0.3564340782
201	0.3562197876
202	0.3561004257
203	0.3560107231
204	0.3559305954
205	0.3558505058
206	0.3557218742
207	0.3555926704
208	0.3554799843
209	0.355397644
210	0.355332489
211	0.3551764297
212	0.3550505257
213	0.3549267578
214	0.3548306084
215	0.3547469521
216	0.3545898056
217	0.3544953346
218	0.3543935394
219	0.3542480087
220	0.3541592026
221	0.3540647316
222	0.3539271736
223	0.3538375473
224	0.3537008476
225	0.35355299
226	0.3534430695
227	0.353349247
228	0.3532638741
229	0.3531629944
230	0.3530438614
231	0.3529070473
232	0.3527914429
233	0.3526748276
234	0.3525751305
235	0.35241745
236	0.3523516846
237	0.3522750282
238	0.3521455383
239	0.3520498848
240	0.3519899178
241	0.3518798828
242	0.3517557144
243	0.3516400719
244	0.3515713501
245	0.3514772987
246	0.3513465691
247	0.3512399864
248	0.3511539841
249	0.3510622406
250	0.3510022354
251	0.350864563
252	0.3507665825
253	0.350674839
254	0.3505642891
255	0.3504521942
256	0.3503754616
257	0.3502809715
258	0.3502079201
259	0.3501160431
260	0.3500136375
261	0.3499338722
262	0.3498801994
263	0.3497758484
264	0.3496994019
265	0.34958498
266	0.3495279312
267	0.3494457817
268	0.3493754387
269	0.3492910194
270	0.3491913414
271	0.3491166496
272	0.3490286446
273	0.3489453888
274	0.3488429642
275	0.3487622261
276	0.3487096024
277	0.3486337662
278	0.3485677528
279	0.3485235786
280	0.3484376907
281	0.3483618546
282	0.3482702637
283	0.3481708336
284	0.3480449295
285	0.3479552269
286	0.3478400612
287	0.3477770424
288	0.3476910973
289	0.3476320839
290	0.3474920845
291	0.3473728752
292	0.3473087692
293	0.3472279549
294	0.3471432495
295	0.3470654678
296	0.346947937
297	0.346842041
298	0.3467625237
299	0.346681881
300	0.3466003418
301	0.3465372849
302	0.3464742661
303	0.3464101028
304	0.3463342285
305	0.3462742615
306	0.346204567
307	0.3461062813
308	0.346000843
309	0.3459399605
310	0.3458023834
311	0.3457410812
312	0.3456441116
313	0.3455392647
314	0.3454622078
315	0.3454117584
316	0.3453676414
317	0.3452829742
318	0.3452344704
319	0.3451662064
320	0.3450424576
321	0.344954567
322	0.3448441696
323	0.3447727203
324	0.344705143
325	0.3446523666
326	0.3445957375
327	0.3445330238
328	0.3444310379
329	0.3443491173
330	0.3442399788
331	0.344149704
332	0.3440307808
333	0.3439706039
334	0.3439186096
335	0.3438619804
336	0.3437854385
337	0.3437015152
338	0.3436297798
339	0.3435792923
340	0.3434956169
341	0.3434523201
342	0.3433440018
343	0.3432779312
344	0.3431879807
345	0.3431346321
346	0.3430328178
347	0.3429308128
348	0.3428383636
349	0.3427453041
350	0.3426974487
351	0.3426450539
352	0.3425655556
353	0.3424699974
354	0.3424265099
355	0.342363739
356	0.3422780037
357	0.3422318077
358	0.3421826744
359	0.3421178818
360	0.3420355797
361	0.3419881439
362	0.3419336319
363	0.3418321991
364	0.3417626762
365	0.3416670799
366	0.3415940285
367	0.3415213585
368	0.341466217
369	0.3413650322
370	0.3412941933
371	0.3412425423
372	0.3411652756
373	0.3410809517
374	0.3410071373
375	0.3409453201
376	0.3409028816
377	0.3408131218
378	0.3407659721
379	0.3407254601
380	0.3406546402
381	0.3405943871
382	0.3405203629
383	0.3404607582
384	0.3403993416
385	0.340295105
386	0.3402280807
387	0.3401408386
388	0.3400971031
389	0.3400454712
390	0.3399603653
391	0.3398868752
392	0.3398276138
393	0.3397769928
394	0.3397159958
395	0.3396471405
396	0.3395860481
397	0.3395179367
398	0.3394660378
399	0.3393959427
400	0.3393071175
401	0.3392547798
402	0.339188385
403	0.339074688
404	0.3390099907
405	0.3389451599
406	0.3388915825
407	0.3388369751
408	0.3387565041
409	0.33870327
410	0.3386450958
411	0.3385826111
412	0.3384962082
413	0.3384321022
414	0.3383593941
415	0.338309288
416	0.3382457352
417	0.3381523895
418	0.3381121445
419	0.338055687
420	0.3379912186
421	0.3379263687
422	0.3378524971
423	0.3377885818
424	0.3377307892
425	0.3376555252
426	0.3375889778
427	0.3375317383
428	0.3374782562
429	0.3374076653
430	0.3373311234
431	0.3372504234
432	0.3371974945
433	0.3371325111
434	0.3370778084
435	0.3370083809
436	0.3369402695
437	0.3368566132
438	0.3367901611
439	0.3367404556
440	0.3366996956
441	0.3366320038
442	0.3365568161
443	0.3364991951
444	0.3364431381
445	0.3363800621
446	0.3363249969
447	0.3362555122
448	0.3361994171
449	0.3361614799
450	0.3361003494
451	0.3360411072
452	0.3359942627
453	0.3359331703
454	0.3358798027
455	0.3358233833
456	0.3357794571
457	0.335731163
458	0.3356510162
459	0.3356009102
460	0.3355480957
461	0.3354731941
462	0.3354135132
463	0.335361824
464	0.3353048706
465	0.3352327347
466	0.3351758575
467	0.3351246452
468	0.3350719452
469	0.3350097656
470	0.3349491882
471	0.3348986244
472	0.3348144531
473	0.33477211
474	0.334704361
475	0.3346560097
476	0.3346142387
477	0.3345666885
478	0.3345087814
479	0.3344553757
480	0.3344088173
481	0.3343516541
482	0.3343014145
483	0.334237442
484	0.3341933632
485	0.3341581345
486	0.3340838242
487	0.334051342
488	0.333991909
489	0.3339411545
490	0.3338986206
491	0.33384655
492	0.3338008118
493	0.3337707329
494	0.3337173653
495	0.3336718178
496	0.3336107826
497	0.3335402107
498	0.3334873772
499	0.3334031296
500	0.3333489227
501	0.3332922554
502	0.333219223
503	0.3331779099
504	0.3331324387
505	0.3330869102
506	0.3330392647
507	0.3330055428
508	0.3329351044
509	0.3328702354
510	0.3328209686
511	0.3327528
512	0.3326890182
513	0.3326066971
514	0.3325320435
515	0.3324987411
516	0.3324396896
517	0.332388401
518	0.3323298836
519	0.3322820282
520	0.3322299194
521	0.3321785355
522	0.3321405029
523	0.3320762253
524	0.33202631
525	0.3319859123
526	0.331945343
527	0.3318910027
528	0.3318022919
529	0.3317569542
530	0.3317028809
531	0.331663208
532	0.331611042
533	0.3315649033
534	0.3315041351
535	0.3314571762
536	0.3314162445
537	0.3313609695
538	0.3313167191
539	0.3312521935
540	0.3312001038
541	0.3311400604
542	0.331079216
543	0.3310203743
544	0.3309464073
545	0.3309018326
546	0.3308600044
547	0.3307702827
548	0.3307175446
549	0.3306831169
550	0.3306246567
551	0.3305579376
552	0.3304981041
553	0.3304118919
554	0.3303631973
555	0.3303048325
556	0.3302436829
557	0.3301843452
558	0.3301247406
559	0.330096283
560	0.3300448227
561	0.329982338
562	0.3299437332
563	0.329904213
564	0.3298604965
565	0.3298264694
566	0.3297821808
567	0.3297367477
568	0.3296947479
569	0.3296215057
570	0.3295393372
571	0.3294783783
572	0.3294129944
573	0.3293466187
574	0.3292961121
575	0.329238739
576	0.3292042923
577	0.3291553116
578	0.329121418
579	0.3290709114
580	0.329005661
581	0.3289477539
582	0.3289109039
583	0.3288699341
584	0.3288134003
585	0.3287755585
586	0.3287442017
587	0.3286933708
588	0.3286297035
589	0.3286007118
590	0.3285541725
591	0.3285193634
592	0.3284704208
593	0.328421936
594	0.3283679962
595	0.3283301163
596	0.3282689285
597	0.3282248688
598	0.3281802559
599	0.3281451035
600	0.3281075859
601	0.3280569077
602	0.3279910088
603	0.3279316139
604	0.3278859711
605	0.3278134918
606	0.327762928
607	0.3277276993
608	0.327665844
609	0.3276191521
610	0.3275746536
611	0.3275109863
612	0.3274710464
613	0.3274303055
614	0.3273796844
615	0.3273111343
616	0.3272498322
617	0.3272057343
618	0.3271545601
619	0.3271134377
620	0.3270619965
621	0.3270182419
622	0.326990509
623	0.3269328499
624	0.3268898964
625	0.3268540001
626	0.3268051338
627	0.3267481613
628	0.326708622
629	0.3266611481
630	0.3266100121
631	0.3265619278
632	0.3264413071
633	0.3264068985
634	0.3263713837
635	0.3263160896
636	0.3262784767
637	0.3262322617
638	0.3261965942
639	0.3261155701
640	0.3260660553
641	0.3260136032
642	0.325974617
643	0.3259141541
644	0.3258588028
645	0.3257997131
646	0.3257442284
647	0.3257139969
648	0.3256742859
649	0.3256464195
650	0.3256131363
651	0.3255848122
652	0.325514183
653	0.3254924583
654	0.3254354477
655	0.3253714371
656	0.325321331
657	0.3252847862
658	0.3252418327
659	0.3252041626
660	0.3251476669
661	0.32509758
662	0.3250583076
663	0.3250184441
664	0.3249776459
665	0.3249588394
666	0.3249214554
667	0.3248641968
668	0.3248060799
669	0.3247335434
670	0.324688549
671	0.324643631
672	0.324591198
673	0.3245422745
674	0.3245002556
675	0.3244490623
676	0.3244107056
677	0.3243668556
678	0.3242972374
679	0.3242702103
680	0.3242188644
681	0.3241602707
682	0.3240710831
683	0.3240302467
684	0.3239875603
685	0.3239368248
686	0.3238795471
687	0.3238384819
688	0.3237928391
689	0.3237382507
690	0.3236688995
691	0.3236258316
692	0.3235974121
693	0.3235311699
694	0.323472538
695	0.3234309769
696	0.3233872795
697	0.3233459854
698	0.3233175278
699	0.3232778358
700	0.323236084
701	0.3231722832
702	0.3231414223
703	0.3230859184
704	0.3230544281
705	0.3230159569
706	0.3229809952
707	0.3229347229
708	0.3228977203
709	0.3228340149
710	0.3227968407
711	0.3227556419
712	0.3227217102
713	0.3226641083
714	0.3226156235
715	0.3225702667
716	0.3225209427
717	0.3224852562
718	0.3224403
719	0.322393322
720	0.3223237419
721	0.3222717285
722	0.3222279739
723	0.3221862793
724	0.3221564484
725	0.3221226501
726	0.3220701218
727	0.3220253372
728	0.3219787407
729	0.3219346046
730	0.3218987274
731	0.3218603134
732	0.3217601013
733	0.3217246819
734	0.3216464233
735	0.321611042
736	0.3215652084
737	0.3215319443
738	0.3215054321
739	0.3214544296
740	0.3214247131
741	0.3213807869
742	0.3213409996
743	0.3213039589
744	0.3212416267
745	0.3212254333
746	0.3211737442
747	0.3211177826
748	0.3210540295
749	0.3209953213
750	0.3209479332
751	0.3208933163
752	0.3208507824
753	0.3207866096
754	0.3207419109
755	0.3206981564
756	0.3206562519
757	0.3205753613
758	0.3205298805
759	0.320491581
760	0.3204355621
761	0.3203806496
762	0.320337944
763	0.3202890491
764	0.3202455711
765	0.3202087593
766	0.3201789284
767	0.3201499367
768	0.320117569
769	0.3200747395
770	0.320018959
771	0.3199638367
772	0.3199164391
773	0.3198669434
774	0.3198351192
775	0.3198199081
776	0.3197677898
777	0.3197213936
778	0.3196643829
779	0.3196268463
780	0.3195780563
781	0.3195372868
782	0.319488163
783	0.319439106
784	0.3193924046
785	0.3193317604
786	0.3192791939
787	0.3192469788
788	0.3192330551
789	0.319156971
790	0.3190974808
791	0.3190579891
792	0.3190110683
793	0.3189724541
794	0.3189245033
795	0.3188740826
796	0.3188326359
797	0.3187866402
798	0.3187530327
799	0.3186968327
