iter	Logloss
0	0.6526148987
1	0.6190235519
2	0.5897471809
3	0.5647475052
4	0.5441683769
5	0.5268800735
6	0.5117546463
7	0.4987777901
8	0.4877347183
9	0.4790959167
10	0.4706724167
11	0.4641468239
12	0.4579602814
13	0.4525040245
14	0.4475265503
15	0.443309288
16	0.4389781189
17	0.435532856
18	0.4325272942
19	0.4293495178
20	0.4267549515
21	0.4243625069
22	0.4219626999
23	0.4199598694
24	0.4179957962
25	0.41608881
26	0.4138051796
27	0.4126686478
28	0.4109352493
29	0.4096179581
30	0.4083127213
31	0.4069420624
32	0.4057852173
33	0.4048765945
34	0.4038252258
35	0.4026097107
36	0.4015462875
37	0.4003924942
38	0.3993116379
39	0.3985027695
40	0.3977423096
41	0.3967865181
42	0.3956659698
43	0.3950097275
44	0.3944345856
45	0.3936637688
46	0.3931679344
47	0.3923118591
48	0.3916735077
49	0.3910199928
50	0.390455246
51	0.3899299049
52	0.3895506477
53	0.3890274048
54	0.3885163116
55	0.3881074524
56	0.3871937561
57	0.3867037964
58	0.3861617661
59	0.3855420685
60	0.3850562286
61	0.3843433762
62	0.3839055824
63	0.3835257149
64	0.3830174637
65	0.382665863
66	0.3823943901
67	0.3821682739
68	0.3819156265
69	0.3814943886
70	0.3809974861
71	0.3807806206
72	0.3803713989
73	0.3800483322
74	0.3798062897
75	0.3792253304
76	0.378874836
77	0.3784942245
78	0.3781749344
79	0.3778066254
80	0.3775108719
81	0.3771348572
82	0.3769367409
83	0.3766522789
84	0.3763838768
85	0.376197834
86	0.3758357239
87	0.3755456734
88	0.3752990341
89	0.3749420738
90	0.3747181129
91	0.3744323349
92	0.3742537689
93	0.3738097382
94	0.3735943413
95	0.3733528328
96	0.3732187271
97	0.3728981781
98	0.3726974106
99	0.3724016571
100	0.3721074295
101	0.371733532
102	0.371429615
103	0.3712789917
104	0.3711580658
105	0.3710300827
106	0.3708387566
107	0.3706615067
108	0.3702607155
109	0.3701164627
110	0.3699100876
111	0.36976408
112	0.369618454
113	0.3693405151
114	0.3691183472
115	0.3689535713
116	0.3687695122
117	0.3686560059
118	0.3685472107
119	0.3684371185
120	0.3682927132
121	0.3680791473
122	0.3679561615
123	0.3676530457
124	0.3674936104
125	0.3673758316
126	0.3672025681
127	0.367003212
128	0.3668844795
129	0.3666251564
130	0.3664965248
131	0.3663760757
132	0.3661849403
133	0.3660058975
134	0.3656805801
135	0.3654577065
136	0.3653036118
137	0.3651132965
138	0.3649536133
139	0.3648265457
140	0.3646809196
141	0.3645247841
142	0.3643765259
143	0.3642891121
144	0.3641743088
145	0.3638689232
146	0.3637362862
147	0.3634908867
148	0.3633232498
149	0.3631497383
150	0.3629939842
151	0.3628291321
152	0.3626735497
153	0.3625485992
154	0.3624045944
155	0.3622611237
156	0.3620436859
157	0.3618893814
158	0.3618209839
159	0.3616150284
160	0.3615142822
161	0.3614346886
162	0.3612943077
163	0.3612001991
164	0.3611006165
165	0.3609477234
166	0.3608465958
